id,truth_rule,裁定,理由,来源
000504_2025-04-22,财务类,B,业绩预告修正·预计净利/扣非为负且扣除后营收1.30亿<3亿（9.3.1(一)）,读者A（60条那半）
002630_2025-04-29,合规/治理类,A,2024年度内控被出具无法表示意见（9.8.1(四)）,读者A（60条那半）
002883_2026-04-30,财务类,B,三者孰低为负且扣除后营收2.51亿<3亿（9.3.1(一)）,读者A（60条那半）
002598_2026-05-09,合规/治理类,A,2025年度内控被出具否定意见（9.8.1(四)）；另述前次年报虚假记载受罚（同类A）,读者A（60条那半）
000639_2026-04-29,合规/治理类,A,2025年度财务报告内部控制被出具否定意见（9.8.1(四)）,读者A（60条那半）
300125_2024-08-19,合规/治理类,A,子公司未履行程序违规对外担保1600万且未解决（9.4(五)）,读者A（60条那半）
601718_2026-04-30,合规/治理类,A,行政处罚事先告知书·年报财务指标虚假记载（9.8.1(七)）,读者A（60条那半）
002932_2026-04-21,财务类,B,三者孰低为负且扣除后营收2.41亿<3亿（9.3.1(一)）,读者A（60条那半）
688282_2024-04-30,财务类,B,扣非前后孰低为负且扣除后营收<1亿（12.4.2(一)）,读者A（60条那半）
688189_2026-06-10,合规/治理类,A,行政处罚事先告知书·年报财务指标虚假记载（12.9.1(七)）,读者A（60条那半）
300091_2025-12-31,重整/破产,C,法院裁定受理重整（10.4.1(九)）,读者A（60条那半）
300899_2025-04-29,财务类,B,三者孰低为负且扣除后营收0.82亿<1亿（10.3.1(一)）,读者A（60条那半）
600759_2026-04-28,合规/治理类,A,2025年度财务报告内部控制被出具否定意见（9.8.1）,读者A（60条那半）
300301_2025-01-10,合规/治理类,A,行政处罚事先告知书·2020-2021年报虚假记载（9.4(七)）,读者A（60条那半）
600543_2023-04-28,财务类,B,扣非前后孰低为负且扣除后营收<1亿（9.3.2(一)）,读者A（60条那半）
688089_2026-07-25,未归类,E,生产经营活动受严重影响且预计3个月内不能恢复正常（12.9.1(四)）,读者A（60条那半）
002305_2025-04-29,财务类,B,2024年末归母净资产-17.53亿为负（9.3.1(二)）；另述连续三年扣非为负+持续经营不确定（同类B）,读者A（60条那半）
002743_2026-09-05,重整/破产,A,公司及子公司主要银行账号被冻结（9.8.1(六)）,读者A（60条那半）
600079_2025-12-13,合规/治理类,A,行政处罚事先告知书·年报财务指标虚假记载（9.8.1(七)）,读者A（60条那半）
002762_2025-04-23,财务类,B,孰低者扣非净利-0.45亿为负且扣除后营收<3亿（9.3.1(一)）,读者A（60条那半）
603922_2026-04-29,合规/治理类,A,2025年度内控被出具否定意见（9.8.1(三)）；另述关联方非经营性资金占用（同类A）,读者A（60条那半）
600360_2024-04-30,未归类,A,2023年度内控被出具否定意见（9.8.1(三)）,读者A（60条那半）
002021_2023-11-25,重整/破产,C,法院裁定受理重整（9.4.1(七)）,读者A（60条那半）
002713_2025-04-29,财务类,B,2024年末净资产为负（9.3.1(二)）；另述连续三年扣非为负+持续经营不确定（同类B）,读者A（60条那半）
600130_2025-04-29,财务类,B,扣非净利为负且扣除后营收<3亿（9.3.2(一)）,读者A（60条那半）
300326_2025-04-30,合规/治理类,A,2024年度内部控制被出具无法表示意见（9.4(四)；财务报表仅保留意见）,读者A（60条那半）
000615_2023-04-29,未归类,B,2022年末净资产为负（9.3.1(二)） +另:A 内控否定意见·9.8.1(七),读者A（60条那半）
600745_2026-04-30,合规/治理类,B,2025年度财务会计报告被出具无法表示意见（9.3.2(三)） +另:A 内控无法表示意见,读者A（60条那半）
002693_2025-04-29,财务类,B,三者孰低为负且扣除后营收1.69亿<3亿（9.3.1(一)）,读者A（60条那半）
600287_2024-07-06,合规/治理类,A,9.8.1(七)证监会处罚,读者B（新增60条那半）
603828_2024-04-30,合规/治理类,A,9.8.1(三)内控被否,读者B（新增60条那半）
603363_2024-04-30,财务类,B,9.3.2(二)净资产为负,读者B（新增60条那半）
002289_2023-04-27,未归类,B,9.8.1(七)三年扣非负,读者B（新增60条那半）
603559_2023-10-12,合规/治理类,A,9.8.1(五)账户冻结,读者B（新增60条那半）
002431_2026-04-25,未归类,B,9.8.1(七)三年扣非负,读者B（新增60条那半）
002848_2025-04-25,财务类,B,9.3.1(一)营收<3亿,读者B（新增60条那半）
603023_2024-04-30,财务类,B,9.3.2(一)营收<1亿,读者B（新增60条那半）
301288_2025-04-29,财务类,B,10.3.1(一)营收<1亿,读者B（新增60条那半）
002310_2024-11-23,财务类,C,9.4.1法院受理重整,读者B（新增60条那半）
603721_2025-04-30,财务类,B,9.3.2(一)三项孰低为负,读者B（新增60条那半）
300430_2026-04-30,合规/治理类,B,10.3.1(三)财报+另:A,读者B（新增60条那半）
300527_2025-08-12,合规/治理类,A,9.4(七)证监会事先告知,读者B（新增60条那半）
300295_2026-04-23,财务类,B,10.3.1(一)营收<1亿,读者B（新增60条那半）
301030_2026-04-30,合规/治理类,B,10.3.1净资产为负+另:A,读者B（新增60条那半）
603595_2025-10-30,合规/治理类,A,9.8.1(七)虚假记载,读者B（新增60条那半）
003032_2025-04-22,财务类,B,9.3.1(一)营收<3亿,读者B（新增60条那半）
001270_2025-04-23,财务类,B,9.3.1(一)营收<3亿,读者B（新增60条那半）
002726_2026-04-29,合规/治理类,A,9.8.1内控否定+另:B,读者B（新增60条那半）
300506_2024-04-26,财务类,B,10.3.1(一)净利负营收低,读者B（新增60条那半）
000697_2023-03-22,未归类,B,9.3.1净资产为负,读者B（新增60条那半）
300343_2025-03-22,合规/治理类,A,9.4(七)虚假记载,读者B（新增60条那半）
603959_2024-04-30,合规/治理类,A,9.8.1(三)内控被否,读者B（新增60条那半）
000736_2025-04-15,财务类,B,9.3.1净资产为负,读者B（新增60条那半）
688646_2025-04-30,未归类,A,12.9.1(三)内控被否,读者B（新增60条那半）
600136_2023-06-06,合规/治理类,C,9.4.1法院受理重整,读者B（新增60条那半）
002528_2025-04-30,合规/治理类,B,9.8.1(七)三年扣非负,读者B（新增60条那半）
002542_2026-04-18,财务类,B,9.3.1净资产为负,读者B（新增60条那半）
002656_2023-06-30,合规/治理类,A,9.8.1(四)内控无法表示,读者B（新增60条那半）
002721_2023-07-21,重整/破产,C,9.4.1法院受理重整,读者B（新增60条那半）
600053_2026-04-29,财务类,B,9.3.2(一)净利负营收低,读者B（新增60条那半）
002047_2025-04-24,财务类,B,9.3.1(二)预计净资产负,读者B（新增60条那半）
688053_2025-09-20,合规/治理类,A,12.9.1(七)虚假记载,读者B（新增60条那半）
600537_2026-04-28,财务类,B,9.3.2(二)净资产为负,读者B（新增60条那半）
002581_2026-04-29,财务类,B,9.3.1净利负营收低,读者B（新增60条那半）
605336_2026-04-22,财务类,B,9.3.2(一)营收<3亿,读者B（新增60条那半）
600370_2026-04-29,合规/治理类,B,9.3.2(三)财报+另:A,读者B（新增60条那半）
603822_2025-12-10,合规/治理类,A,9.8.1(七)虚假记载,读者B（新增60条那半）
603789_2025-04-30,财务类,B,9.3.2(一)营收<3亿,读者B（新增60条那半）
002198_2026-04-30,合规/治理类,A,9.8.1(四)内控被否,读者B（新增60条那半）
002102_2026-04-29,合规/治理类,A,9.8.1(四)内控被否,读者B（新增60条那半）
000838_2026-04-24,财务类,B,9.3.1(二)净资产为负,读者B（新增60条那半）
600180_2026-04-29,未归类,B,9.3.2(三)财报+另:A,读者B（新增60条那半）
002789_2025-04-25,财务类,B,9.3.1(二)净资产为负,读者B（新增60条那半）
600491_2026-04-30,未归类,B,9.8.1(六)三年扣非负,读者B（新增60条那半）
600340_2026-04-30,财务类,B,9.3.2(二)净资产为负,读者B（新增60条那半）
600080_2026-04-29,合规/治理类,A,9.8.1(三)内控被否,读者B（新增60条那半）
688496_2026-04-29,未归类,A,12.9.1(三)内控被否,读者B（新增60条那半）
603557_2024-04-27,合规/治理类,B,9.8.1(六)三年扣非负,读者B（新增60条那半）
603813_2025-04-29,财务类,B,9.3.2(一)营收<3亿,读者B（新增60条那半）
301139_2026-05-09,合规/治理类,A,证监会告知书14号虚假记载,读者B（新增60条那半）
600439_2026-07-31,合规/治理类,A,9.8.1(七)虚假记载,读者B（新增60条那半）
000929_2025-04-29,财务类,B,9.3.1(一)营收<3亿,读者B（新增60条那半）
688066_2026-04-30,未归类,B,12.4.2净资产为负+另:A,读者B（新增60条那半）
000010_2026-04-29,合规/治理类,B,9.3.1(三)财报+另:A,读者B（新增60条那半）
000656_2024-04-23,重整/破产,C,9.4.1(七)法院受理重整,读者B（新增60条那半）
300211_2025-04-30,财务类,B,10.3.1(一)营收<1亿,读者B（新增60条那半）
300093_2025-04-29,未归类,B,10.3.1(一)营收<1亿,读者B（新增60条那半）
002055_2026-04-29,未归类,B,9.8.1(七)三年扣非负,读者B（新增60条那半）
000056_2026-04-24,未归类,B,9.3.1(二)净资产为负,读者B（新增60条那半）
