id,truth_rule,裁定,理由
688282_2024-04-30,财务类,B,扣非前后孰低为负且扣除后营收<1亿（12.4.2(一)）
688189_2026-06-10,合规/治理类,A,行政处罚事先告知书·年报财务指标虚假记载（12.9.1(七)）
300091_2025-12-31,重整/破产,C,法院裁定受理重整（10.4.1(九)）
300899_2025-04-29,财务类,B,三者孰低为负且扣除后营收0.82亿<1亿（10.3.1(一)）
600759_2026-04-28,合规/治理类,A,2025年度财务报告内部控制被出具否定意见（9.8.1）
300301_2025-01-10,合规/治理类,A,行政处罚事先告知书·2020-2021年报虚假记载（9.4(七)）
600543_2023-04-28,财务类,B,扣非前后孰低为负且扣除后营收<1亿（9.3.2(一)）
688089_2026-07-25,未归类,E,生产经营活动受严重影响且预计3个月内不能恢复正常（12.9.1(四)）
002305_2025-04-29,财务类,B,2024年末归母净资产-17.53亿为负（9.3.1(二)）；另述连续三年扣非为负+持续经营不确定（同类B）
002743_2026-09-05,重整/破产,A,公司及子公司主要银行账号被冻结（9.8.1(六)）
600079_2025-12-13,合规/治理类,A,行政处罚事先告知书·年报财务指标虚假记载（9.8.1(七)）
002762_2025-04-23,财务类,B,孰低者扣非净利-0.45亿为负且扣除后营收<3亿（9.3.1(一)）
603922_2026-04-29,合规/治理类,A,2025年度内控被出具否定意见（9.8.1(三)）；另述关联方非经营性资金占用（同类A）
600360_2024-04-30,未归类,A,2023年度内控被出具否定意见（9.8.1(三)）
002021_2023-11-25,重整/破产,C,法院裁定受理重整（9.4.1(七)）
002713_2025-04-29,财务类,B,2024年末净资产为负（9.3.1(二)）；另述连续三年扣非为负+持续经营不确定（同类B）
600130_2025-04-29,财务类,B,扣非净利为负且扣除后营收<3亿（9.3.2(一)）
300326_2025-04-30,合规/治理类,A,2024年度内部控制被出具无法表示意见（9.4(四)；财务报表仅保留意见）
000615_2023-04-29,未归类,B,2022年末净资产为负（9.3.1(二)） +另:A 内控否定意见·9.8.1(七)
600745_2026-04-30,合规/治理类,B,2025年度财务会计报告被出具无法表示意见（9.3.2(三)） +另:A 内控无法表示意见
002693_2025-04-29,财务类,B,三者孰低为负且扣除后营收1.69亿<3亿（9.3.1(一)）
